Rafael Yuiti [BR]	Victor García [MX]	W	12	4
Rafael Yuiti [BR]	Ioannis Rodrigo García López [MX]	W	15	5
Rafael Yuiti [BR]	Pablo Figueroa [MX]	W	18	6
Rafael Yuiti [BR]	Joshua Sanchez [CR]	W	21	7
Rafael Yuiti [BR]	Pedro Pertusi [BR]	L	21	8
Rafael Yuiti [BR]	Michael Davidson [US]	L	21	9
Rafael Yuiti [BR]	Calvin Connor [US]	W	24	10
Rafael Yuiti [BR]	André Miranda [BR]	W	27	11
Rafael Yuiti [BR]	Victor De Velasco [MX]	W	30	12
Rafael Yuiti [BR]	BYE	W	33	13
Rafael Yuiti [BR]	Leandro Fernandes [BR]	L	33	14
Michael Davidson [US]	Juan De La Mora [MX]	W	3	1
Michael Davidson [US]	Jhon Cristancho [CO]	W	6	2
Michael Davidson [US]	Jonathan Lupercio [US]	W	9	3
Michael Davidson [US]	David Villatoro [GT]	W	12	4
Michael Davidson [US]	André Miranda [BR]	W	15	5
Michael Davidson [US]	Cameron Scotland [US]	W	18	6
Michael Davidson [US]	Justin Turner [US]	W	21	7
Michael Davidson [US]	Brent Tonisson [AU]	L	21	8
Michael Davidson [US]	Rafael Yuiti [BR]	W	24	9
Michael Davidson [US]	Guillermo Rosales [MX]	W	27	10
Michael Davidson [US]	Pedro Pertusi [BR]	W	30	11
Michael Davidson [US]	Aidan Khus [US]	L	30	12
Michael Davidson [US]	Jose Merced [MX]	W	33	13
Michael Davidson [US]	Mauricio Patino [US]	L	33	14
Caleb Rogerson [US]	Manuel V Zuñiga [MX]	W	3	1
Caleb Rogerson [US]	Jorge Zuniga [MX]	W	6	2
Caleb Rogerson [US]	Jonathan Enrique Olguin Suarez [MX]	L	6	3
Caleb Rogerson [US]	Carlos Espinoza [MX]	W	9	4
Caleb Rogerson [US]	LUIS ZENTENO [MX]	L	9	5
Caleb Rogerson [US]	Alejandro De la Peña [MX]	W	12	6
Caleb Rogerson [US]	Brandon Jahen González Zuñiga [MX]	W	15	7
Caleb Rogerson [US]	Jorge Arteaga [US]	T	16	8
Caleb Rogerson [US]	Raul Merino [MX]	W	19	9
Caleb Rogerson [US]	Angel Daniel [MX]	W	22	10
Caleb Rogerson [US]	Ruben Alejandro Canul Mendoza [MX]	W	25	11
Caleb Rogerson [US]	Diego Carrillo [MX]	W	28	12
Caleb Rogerson [US]	Brent Tonisson [AU]	W	31	13
Caleb Rogerson [US]	Azul Garcia Griego [US]	L	31	14
Brent Tonisson [AU]	Alexis Gobea [MX]	W	3	1
Brent Tonisson [AU]	Pedro Martinez Cervantes [MX]	W	6	2
Brent Tonisson [AU]	Roberto Calderon Azar [MX]	W	9	3
Brent Tonisson [AU]	Carlos Rafael Benitez Zavala [MX]	W	12	4
Brent Tonisson [AU]	Guillermo Rosales [MX]	W	15	5
Brent Tonisson [AU]	Enrique Saenz [MX]	W	18	6
Brent Tonisson [AU]	Eder Jarillo [MX]	W	21	7
Brent Tonisson [AU]	Michael Davidson [US]	W	24	8
Brent Tonisson [AU]	Pedro Pertusi [BR]	T	25	9
Brent Tonisson [AU]	Leandro Fernandes [BR]	W	28	10
Brent Tonisson [AU]	Aidan Khus [US]	L	28	11
Brent Tonisson [AU]	Mauricio Patino [US]	T	29	12
Brent Tonisson [AU]	Caleb Rogerson [US]	L	29	13
Steven Salas Cajina [CR]	Javier Alejandro Casillas Saldivar [MX]	W	3	1
Steven Salas Cajina [CR]	Ares marat Salas correa [MX]	W	6	2
Steven Salas Cajina [CR]	Hector Alvarado [MX]	W	9	3
Steven Salas Cajina [CR]	Aaron misael Cordova cardenas [MX]	L	9	4
Steven Salas Cajina [CR]	Gustavo Jiménez [MX]	W	12	5
Steven Salas Cajina [CR]	Roberto Concepcion Parra Rodriguez [MX]	W	15	6
Steven Salas Cajina [CR]	Jesus Enrique Cervera Novelo [MX]	W	18	7
Steven Salas Cajina [CR]	Aidan Khus [US]	T	19	8
Steven Salas Cajina [CR]	Alberto Bonsanto [MX]	T	20	9
Steven Salas Cajina [CR]	Felix Salinas [MX]	W	23	10
Steven Salas Cajina [CR]	Jaime Riva [MX]	W	26	11
Steven Salas Cajina [CR]	Shane McManus [US]	W	29	12
Steven Salas Cajina [CR]	Azul Garcia Griego [US]	L	29	13
Arath Gomez [MX]	Carlos Alexis Gonzalez Ramirez [MX]	W	3	1
Arath Gomez [MX]	Alfredo Mendez [MX]	W	6	2
Arath Gomez [MX]	Eder Jarillo [MX]	L	6	3
Arath Gomez [MX]	Carlos Avilés [MX]	W	9	4
Arath Gomez [MX]	Juan Ortega [MX]	W	12	5
Arath Gomez [MX]	Alfonso Hernandez [MX]	W	15	6
Arath Gomez [MX]	Naim Legñar [MX]	T	16	7
Arath Gomez [MX]	Emiliano Zapata [MX]	W	19	8
Arath Gomez [MX]	Hector Romeo Vázquez Sánchez [MX]	L	19	9
Arath Gomez [MX]	Eliseo Vazquez [MX]	W	22	10
Arath Gomez [MX]	Miguel Lopez [MX]	W	25	11
Arath Gomez [MX]	Bryan Gabriel Torres Meléndez [MX]	W	28	12
Arath Gomez [MX]	Rolando Gabriel Coronado Jimenez [MX]	L	28	13
Diego Cassiraga [AR]	Pedro Elias Ibarra Tapia [MX]	W	3	1
Diego Cassiraga [AR]	Eduardo Ortiz [MX]	W	6	2
Diego Cassiraga [AR]	Sergio Perez Loreto [MX]	W	9	3
Diego Cassiraga [AR]	Jorge Pech May [MX]	W	12	4
Diego Cassiraga [AR]	Enrique Saenz [MX]	L	12	5
Diego Cassiraga [AR]	Arturo castillo lopez [MX]	W	15	6
Diego Cassiraga [AR]	Joel Bergman [CA]	W	18	7
Diego Cassiraga [AR]	Andrew Hedrick [US]	L	18	8
Diego Cassiraga [AR]	Fabrizio Inga Silva [PE]	W	21	9
Diego Cassiraga [AR]	Carlos Medina Astete [PE]	W	24	10
Diego Cassiraga [AR]	Jack Moore [CA]	T	25	11
Diego Cassiraga [AR]	Pedro Pertusi [BR]	W	28	12
Diego Cassiraga [AR]	Leandro Fernandes [BR]	L	28	13
Caleb Gedemer [US]	José Eduardo Rodríguez Antúnez [MX]	W	3	1
Caleb Gedemer [US]	Jorge Israel Bolio Molina [MX]	W	6	2
Caleb Gedemer [US]	Jack Moore [CA]	L	6	3
Caleb Gedemer [US]	Alejandro Manuel Vazquez Guerena [US]	W	9	4
Caleb Gedemer [US]	Pablo Martinez [MX]	L	9	5
Caleb Gedemer [US]	octavio castillo escudero [MX]	W	12	6
Caleb Gedemer [US]	Giuliano Alberto Acosta Abreo [MX]	W	15	7
Caleb Gedemer [US]	Yalevo Jimenez [MX]	T	16	8
Caleb Gedemer [US]	Carlos Irigoyen [MX]	W	19	9
Caleb Gedemer [US]	Mauricio Loredo del castillo [MX]	W	22	10
Caleb Gedemer [US]	Rodrigo Segovia [MX]	W	25	11
Caleb Gedemer [US]	Guillermo Rosales [MX]	W	28	12
Caleb Gedemer [US]	Mauricio Patino [US]	L	28	13
Jose Merced [MX]	Oliver Rochin [MX]	W	3	1
Jose Merced [MX]	Mario Calles [MX]	W	6	2
Jose Merced [MX]	Andrés Flores [MX]	W	9	3
Jose Merced [MX]	Diego García Rueda [MX]	L	9	4
Jose Merced [MX]	Owen Dalgard [US]	W	12	5
Jose Merced [MX]	Dennis Peroff [CA]	L	12	6
Jose Merced [MX]	Oscar Bojorquez [MX]	T	13	7
Jose Merced [MX]	Oscar Alejandro Martínez Navarro [MX]	W	16	8
Jose Merced [MX]	Josue Rodrigo Ramos Hernández [MX]	W	19	9
Jose Merced [MX]	Yasser Moreno [MX]	W	22	10
Jose Merced [MX]	Omar Corro [MX]	W	25	11
Jose Merced [MX]	Tanner Hurley [US]	W	28	12
